lumbung membersartists,size,invited by / invited as part of
"""+140 Studierense""",1,ZK/U – Center for Art and Urbanistics
*foundation­Class*­collective,1,ruanrupa
*foundationClass*collective,1,Sourabh Phadke
32º East | Ugandan Arts Trust (Kampala),1,Arts Collaboratory
Abdelhamid Mansouri,1,Siwa plateforme - L'Economat at Redeyef
Abdellah Hassak,1,LE 18
Abdelwahab Zoabi,1,The Question of Funding
Abdi Hussien Ibrahim,1,Komîna Fîlm a Rojava
Abdoulaye Camara,1,Fondation Festival sur le Niger
Abdoulaye Konaté,1,Fondation Festival sur le Niger
Abdul Dube,1,ruanrupa
Abdur Rab,1,Britto Arts Trust
Abhinit Khanna,1,Party Office b2b Fadescha
Abiodun AKANDA,1,Another Roadmap Africa Cluster (ARAC)
Abiye Okujagu,1,*foundation­Class*­collective
Ada M. Patterson,1,Alice Yard
Ada Navarro,1,Party Office b2b Fadescha
Ádám Kokesch,1,OFF-Biennale Budapest
Adama Keïta,1,Fondation Festival sur le Niger
ADANYAH,1,Jatiwangi art Factory
Adele Jarrar,1,The Question of Funding
Adhir Das,1,Britto Arts Trust
Adji Utomo,1,Agus Nur Amal PMTOH
Adji Utomo,1,Agus Nur Amal PMTOH
Adriana Benjamin,1,Atis Rezistans | Ghetto Biennale
After Party Collective,1,Party Office b2b Fadescha
Agathon Kakusa,1,Centre d’art Waza
Ágnes Sorossy,1,Graziela Kunsch
Agung ‘Abul’,1,Agus Nur Amal PMTOH
Agung M. Abul,1,Agus Nur Amal PMTOH
Agus Nur Amal PMTOH,1,ruanrupa
Ahmad al-Khalil,1,yasmine eid-sabbagh
Ahmad sujai,1,Agus Nur Amal PMTOH
Ahmad Sujai,1,Jatiwangi art Factory
Ahmad Thian Fultan,1,Jatiwangi art Factory
Ahmed Bennys,1,LE 18
Ahmed Bouanani,1,LE 18
Ahmed Boughaba,1,LE 18
Ahmed El-Faour,1,yasmine eid-sabbagh
Aicha Mansouri,1,Siwa plateforme - L'Economat at Redeyef
Aïda Adilbek,1,Saodat Ismailova
Aida Ashall,1,Project Art Works
