name,type,role,size,invited by
ruanrupa,collective,selected curator,39,International Documenta Kassel Advisory Board
International Documenta Kassel Advisory Board,collective,advisory board,19,Documenta Kassel GBH
*foundation­Class*­collective,collective,invited artist,2,ruanrupa
Abdul Dube,individual,invited artist,2,ruanrupa
Agus Nur Amal PMTOH,individual,invited artist,2,ruanrupa
Alice Yard,collective,invited artist,2,ruanrupa
Amol K Patil,individual,invited artist,2,ruanrupa
Another Roadmap Africa Cluster (ARAC),collective,invited artist,2,ruanrupa
Archives des luttes des femmes en Algérie,collective,invited artist,2,ruanrupa
Arts Collaboratory,collective,invited artist,2,ruanrupa
Asia Art Archive,collective,invited artist,2,ruanrupa
Atis Rezistans | Ghetto Biennale,collective,invited artist,2,ruanrupa
Black Quantum Futurism,collective,invited artist,2,ruanrupa
Britto Arts Trust,collective,invited artist,2,ruanrupa
Cao Minghao & Chen Jianjun,collective,invited artist,2,ruanrupa
Cem A.,individual,invited artist,2,ruanrupa
Centre d’art Waza,collective,invited artist,2,ruanrupa
Chimurenga,collective,invited artist,2,ruanrupa
Cinema Caravan and Takashi Kuribayashi,collective,invited artist,2,ruanrupa
Dan Perjovschi,individual,invited artist,2,ruanrupa
Erick Beltrán,individual,invited artist,2,ruanrupa
Fondation Festival sur le Niger,collective,invited artist,2,ruanrupa
Graziela Kunsch,individual,invited artist,2,ruanrupa
Gudskul,collective,invited artist,2,ruanrupa
Hamja Ahsan,individual,invited artist,2,ruanrupa
ikkibawiKrrr,collective,invited artist,2,ruanrupa
INLAND,collective,invited artist,2,ruanrupa
Instituto de Artivismo Hannah Arendt,collective,invited artist,2,ruanrupa
Jatiwangi art Factory,,invited artist,2,ruanrupa
Jimmie Durham & A Stick in the Forest by the Side of the Road,individual,invited artist,2,ruanrupa
Kiri Dalena,individual,invited artist,2,ruanrupa
Komîna Fîlm a Rojava,collective,invited artist,2,ruanrupa
La Intermundial Holobiente,collective,invited artist,2,ruanrupa
LE 18,collective,invited artist,2,ruanrupa
MADEYOULOOK,collective,invited artist,2,ruanrupa
Más Arte Más Acción,collective,invited artist,2,ruanrupa
Nguyen Trinh Thi,individual,invited artist,2,ruanrupa
Nhà Sàn Collective,collective,invited artist,2,ruanrupa
OFF-Biennale Budapest,collective,invited artist,2,ruanrupa
ook_ [reinaart vanhoe,collective,invited artist,2,ruanrupa
Party Office b2b Fadescha,collective,invited artist,2,ruanrupa
Pınar Ögrenci,individual,invited artist,2,ruanrupa
Project Art Works,collective,invited artist,2,ruanrupa
Richard Bell,individual,invited artist,2,ruanrupa
Sa Sa Art Projects,collective,invited artist,2,ruanrupa
Sada [regroup],collective,invited artist,2,ruanrupa
Safdar Ahmed,individual,invited artist,2,ruanrupa
Saodat Ismailova,individual,invited artist,2,ruanrupa
Serigrafistas queer,collective,invited artist,2,ruanrupa
Siwa plateforme - L'Economat at Redeyef,collective,invited artist,2,ruanrupa
Subversive Film,collective,invited artist,2,ruanrupa
Taring Padi,collective,invited artist,2,ruanrupa
The Nest Collective,collective,invited artist,2,ruanrupa
The Question of Funding,collective,invited artist,2,ruanrupa
Trampoline House,collective,invited artist,2,ruanrupa
Victoria Lomasko,individual,invited artist,2,ruanrupa
Wajukuu Art Project,collective,invited artist,2,ruanrupa
Wakaliga Uganda,collective (studio),invited artist,2,ruanrupa
ZK/U – Center for Art and Urbanistics,collective (institution),invited artist,2,ruanrupa
"""+140 Studierense""",collective,guest artist,1,ZK/U – Center for Art and Urbanistics
32º East | Ugandan Arts Trust (Kampala),collective,guest artist,1,Arts Collaboratory
Abdelhamid Mansouri,individual,guest artist,1,Siwa plateforme - L'Economat at Redeyef
Abdellah Hassak,individual,guest artist,1,LE 18
Abdelwahab Zoabi,individual,guest artist,1,The Question of Funding
Abdi Hussien Ibrahim,individual,guest artist,1,Komîna Fîlm a Rojava
Abdoulaye Camara,individual,guest artist,1,Fondation Festival sur le Niger
Abdoulaye Konaté,individual,guest artist,1,Fondation Festival sur le Niger
Abdur Rab,individual,guest artist,1,Britto Arts Trust
Abhinit Khanna,individual,guest artist,1,Party Office b2b Fadescha
Abiodun AKANDA,individual,guest artist,1,Another Roadmap Africa Cluster (ARAC)
Abiye Okujagu,individual,guest artist,1,*foundation­Class*­collective
Ada M. Patterson,individual,guest artist,1,Alice Yard
Ada Navarro,individual,guest artist,1,Party Office b2b Fadescha
Ádám Kokesch,individual,guest artist,1,OFF-Biennale Budapest
Adama Keïta,individual,guest artist,1,Fondation Festival sur le Niger
ADANYAH,individual,guest artist,1,Jatiwangi art Factory
Adele Jarrar,individual,guest artist,1,The Question of Funding
Adhir Das,individual,guest artist,1,Britto Arts Trust
Adji Utomo,individual,guest artist,1,Agus Nur Amal PMTOH
Adji Utomo,individual,guest artist,1,Agus Nur Amal PMTOH
Adriana Benjamin,individual,guest artist,1,Atis Rezistans | Ghetto Biennale
After Party Collective,collective,guest artist,1,Party Office b2b Fadescha
Agathon Kakusa,individual,guest artist,1,Centre d’art Waza
Ágnes Sorossy,individual,guest artist,1,Graziela Kunsch
Agung M. Abul,individual,guest artist,1,Agus Nur Amal PMTOH
Ahmad al-Khalil,individual,guest artist,1,yasmine eid-sabbagh
Ahmad Sujai,individual,guest artist,1,Jatiwangi art Factory
Ahmad sujai,individual,guest artist,1,Agus Nur Amal PMTOH
Ahmad Thian Fultan,individual,guest artist,1,Jatiwangi art Factory
Ahmed Bennys,individual,guest artist,1,LE 18
Ahmed Bouanani,individual,guest artist,1,LE 18
Ahmed Boughaba,individual,guest artist,1,LE 18
Ahmed El-Faour,individual,guest artist,1,yasmine eid-sabbagh
Aicha Mansouri,individual,guest artist,1,Siwa plateforme - L'Economat at Redeyef
Aïda Adilbek,individual,guest artist,1,Saodat Ismailova
Aida Ashall,individual,guest artist,1,Project Art Works
Ailie Rutherford,individual,guest artist,1,Más Arte Más Acción
Aji S Dharan,individual,guest artist,1,Amol K Patil
Ajit Hajong,individual,guest artist,1,Britto Arts Trust
Ajith A S,individual,guest artist,1,Amol K Patil
Akef Darawsheh,individual,guest artist,1,The Question of Funding
Aki Hassan,individual,guest artist,1,Nino Bulling
Akin Adesokan,individual,guest artist,1,Chimurenga
Akira Okura,individual,guest artist,1,Cinema Caravan and Takashi Kuribayashi
Al Wali,individual,guest artist,1,ZK/U – Center for Art and Urbanistics
Al-Ma’mal (Jerusalem),collective,guest artist,1,Arts Collaboratory
Alan Michaelson,individual,guest artist,1,Richard Bell
Aldino,individual,guest artist,1,Agus Nur Amal PMTOH
Aldizar Ahmad Ghifari,individual,guest artist,1,Agus Nur Amal PMTOH
Aldizar Ahmad Ghifhary,individual,guest artist,1,Jatiwangi art Factory
