lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
International Documenta Kassel Advisory Board,Germany,Kassel,collective,advisory board,,Documenta Kassel  GBH,"Frances Morris, Amar Kanwar, Philippe Pirotte, Elvira Dyangani Ose, Ute Meta Bauer, Jochen Volz, Charles Esche, Gabi Ngcobo",https://documenta-fifteen.de/en/documenta-commission/,,
ruanrupa,Indonesia,ruruhouse,collective ,selected curator,71,International Documenta Kassel Advisory Board,,"http://ruangrupa.org/index.html,   https://www.lumbunggallery.theartists.net/artist/sourabh-phadke ,   https://lumbung.space/timeline/",,
LE 18,Morocco,WH22,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/le-18/>,,
Francesca Masoero,,,individual,guest artist,,LE 18,In the first circle,,,
Laila Hida,,,individual,guest artist,,LE 18,In the first circle,,,
Nadir Bouhmouch,,,individual,guest artist,,LE 18,In the first circle,,,
Soumeya Aït Ahmed,,,individual,guest artist,,LE 18,In the first circle,,,
Amine Lahrach,,,individual,guest artist,,LE 18,In the second circle,,,
Audi George Bajalia,,,individual,guest artist,,LE 18,In the second circle,,,
Carlos Perez Marin,,,individual,guest artist,,LE 18,In the second circle,,,
Montasser Drissi,,,individual,guest artist,,LE 18,In the second circle,,,
Shayma Nader,,,individual,guest artist,,LE 18,In the second circle,,,
Abdellah Hassak,,,individual,guest artist,,LE 18,From our wider circle,,,
Ahmed Bennys,,,individual,guest artist,,LE 18,From our wider circle,,,
Ahmed Bouanani,,,individual,guest artist,,LE 18,From our wider circle,,,
Ahmed Boughaba,,,individual,guest artist,,LE 18,From our wider circle,,,
Ali Essafi,,,individual,guest artist,,LE 18,From our wider circle,,,
Alioucha Tazi,,,individual,guest artist,,LE 18,From our wider circle,,,
Archives Bouanani Collective,,,individual,guest artist,,LE 18,From our wider circle,,,
Assia Djebar,,,individual,guest artist,,LE 18,From our wider circle,,,
AWAL,,,individual,guest artist,,LE 18,From our wider circle,,,
Basma Rkioui,,,individual,guest artist,,LE 18,From our wider circle,,,
Benjamin Verhoeven,,,individual,guest artist,,LE 18,From our wider circle,,,
Caravane Tighmert,,,individual,guest artist,,LE 18,From our wider circle,,,
Corinne Wiss,,,individual,guest artist,,LE 18,From our wider circle,,,
Elisa Zorzi,,,individual,guest artist,,LE 18,From our wider circle,,,
Farida Benlyazid,,,individual,guest artist,,LE 18,From our wider circle,,,
Firas Hamdan,,,individual,guest artist,,LE 18,From our wider circle,,,
Grocco,,,individual,guest artist,,LE 18,From our wider circle,,,
Hadia Gana,,,individual,guest artist,,LE 18,From our wider circle,,,
Hamza Azeroual,,,individual,guest artist,,LE 18,From our wider circle,,,
Hicham Bouzid,,,individual,guest artist,,LE 18,From our wider circle,,,
Imane Zoubi,,,individual,guest artist,,LE 18,From our wider circle,,,
Jumana Emil Abboud,,,individual,guest artist,,LE 18,From our wider circle,,,
Khadija El Abyad,,,individual,guest artist,,LE 18,From our wider circle,,,
Le Brouillon,,,individual,guest artist,,LE 18,From our wider circle,,,
Léa Morin,,,individual,guest artist,,LE 18,From our wider circle,,,
Les Mamans Douées,,,individual,guest artist,,LE 18,From our wider circle,,,
Louisa Aarass,,,individual,guest artist,,LE 18,From our wider circle,,,
M’barek Bouhchichi,,,individual,guest artist,,LE 18,From our wider circle,,,
Meriem Benmhamed,,,individual,guest artist,,LE 18,From our wider circle,,,
Meryem Fekhari,,,individual,guest artist,,LE 18,From our wider circle,,,
Mohamed Oubenal,,,individual,guest artist,,LE 18,From our wider circle,,,
Mounir Rahmouni,,,individual,guest artist,,LE 18,From our wider circle,,,
Nabil Himich,,,individual,guest artist,,LE 18,From our wider circle,,,
Nassim Azarzar,,,individual,guest artist,,LE 18,From our wider circle,,,
QANAT,,,collective,guest artist,,LE 18,From our wider circle,,,
Reem Shadeed,,,individual,guest artist,,LE 18,From our wider circle,,,
