Title,Author,Date,Category,Code,Period
Ecce Homo,Gerónimo Gutiérrez de las Casas,1614,Pintura,2014.35.1,Colonial
"Lima, ciudad de los Reyes",Joseph Mulder,1688,Grabado,2014.17.1,Colonial
San Francisco de Paula,Anónimo,1690,Grabado,2023.2.1,Colonial
Ejecución de Atahualpa,Anónimo,1707,Grabado,2018.65.2,Colonial
Entierro indígena,Anónimo,1707,Grabado,2018.65.3,Colonial
Plateros indígenas,Anónimo,1707,Grabado,2018.65.4,Colonial
Rescate de Atahualpa,Anónimo,1707,Grabado,2018.65.1,Colonial
"Cerro de Potosí. Ilustración para Alain Manesson Mallet, Description de l'Univers",Anónimo,1719,Grabado,2018.66.2,Colonial
Túmulo erigido en Lima en memoria del papa Benedicto XIII,Miguel Adame,1731,Grabado,2018.68.1,Colonial
Sucesión de los incas y reyes del Perú,Diego de Villanueva,1748,Grabado,2014.17.2,Colonial
Pedro José Bravo de Lagunas y Castilla,Cristóbal Lozano,1752,Pintura,2013.35.1,Colonial
Éxtasis de san Camilo de Lelis,Cristóbal Lozano,1762,Pintura,1978.4.5,Colonial
Cristo de los Milagros,José Vazquez,1767,Grabado,2021.37.3,Colonial
Cristo de Huamantanga,Anónimo,1779,Grabado,2021.22.1,Colonial
Sacra,Anónimo,1779,Metales,V-2.7-0006,Colonial
Inmaculada Concepción,Anónimo cuzqueño,1781,Pintura,V-2.0-0064,Colonial
"Imagen de Cristo pobre que se venera en el convento de Incurables de los padres bethlemitas, Lima",José Vazquez,1783,Grabado,2017.44.1,Colonial
Cenotafio erigido en Manila a la memoria de Antonio de Pineda Ramírez,Fernando Brambila,1793,Grabado,2014.13.1,Colonial
Escritorio portátil,Anónimo,1797,Muebles y artes decorativas,2022.62.1,Colonial
Virgin of the Sun,,1805,Grabado,2024.11.1,Republicano
Indian Warrior Belonging to a Babarous Tribe,,1805,Grabado,2024.11.3,Republicano
"Indians, Male and Female in Costumes of Festivity",,1805,Grabado,2024.11.2,Republicano
Guerrera de la tribu de Yurimagua. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.6,Republicano
India representando a la Minerva Peruana. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.7,Republicano
Indio civilizado vestido con poncho. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.12,Republicano
Indio guerrero. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.3,Republicano
Limeña de la clase media. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.10,Republicano
Llamas. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.2,Republicano
Pareja de indios en traje de fiesta. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.8,Republicano
Señora limeña en traje de gala. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.9,Republicano
Sirvienta cuarterona de Lima. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.11,Republicano
Torero. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.4,Republicano
Traje de los indios para representar al inca y a su esposa. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.1,Republicano
Virgen del Sol. Serie Voyages au Pérou,Anónimo,1809,Grabado,2020.30.5,Republicano
"Verdadero retrato de Jesús Nazareno, que se venera en la iglesia de Santo Domingo de Lima",Marcelo Cabello,1811,Grabado,2001.3.2,Colonial
Inmaculada Concepción,Pascual Olivares y Argote,1811,Pintura,2014.12.1,Republicano
Carta de beneficios espirituales otorgada por la Orden Bethlemita,Manuel Villavicencio,1817,Grabado,2014.3.1,Republicano
Alegoría del triunfo de Bolívar,Marcelo Cabello,1825,Grabado,2000.9.1,Republicano
"Memorable y decisiva batalla de Ayacucho (en el Perú), el 9 de diciembre del año 1824",Denis Auguste Marie Raffet,1826,Grabado,2013.30.1,Republicano
Cristo de Huamantanga,Marcelo Cabello,1827,Grabado,2015.36.1,Republicano
"Simón Bolívar, según José Gil de Castro",,1827,Grabado,2022.58.1,Republicano
Paso de la carroza del Santísimo en la Plaza de Armas de Lima,Francisco Javier Cortés,1827,Pintura,2015.21.46,Republicano
Mesa dedicada a Andrés de Santa Cruz,Baltazar Zeballos,1829,Muebles y artes decorativas,2017.1.1,Republicano
Tapada,Francisco Javier Cortés,1830,Pintura,2015.21.49,Republicano
"Carta de hermandad de la cofradía del Santísimo Sacramento, fundada en la iglesia de San Lázaro de Lima",Domingo Ayala,1831,Grabado,2014.15.2,Republicano
Cosme Pacheco,José Gil de Castro,1831,Pintura,2024.22.1,Republicano
"Carta de hermandad de la cofradía de Jesús, María y José, fundada en el monasterio de Capuchinas de Lima",,1832,Grabado,2014.14.1,Republicano
Ladrones de los alrededores de Lima,Pancho Fierro,1834,Papelería,2015.21.1,Republicano
"Carta de hermandad de la cofradía del Cristo de Burgos, fundada en el convento de San Agustín de Lima",Imprenta Republicana de José María Concha,1835,Grabado,2017.55.1,Republicano
Convite para la lidia de toros con muñecones,Pancho Fierro,1835,Pintura,2015.21.2,Republicano
Montonero con bandera negra de la muerte,Pancho Fierro,1835,Pintura,2015.21.4,Republicano
"Señora en traje de pinganilla o de moda, yendo al baño de mar en Chorrillos con un indio nadador",Pancho Fierro,1835,Pintura,2015.21.3,Republicano
Tapada,Pancho Fierro,1835,Pintura,2015.21.5,Republicano
Chuchumeca de navaja,Pancho Fierro,1836,Pintura,2015.21.10,Republicano
