section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2016,Lisbon,Perve Galería,<https://www.artdubai.ae/gallery/perve-galeria-2021/>
Art Dubai Contemporary,2021,Tehran,+2,<https://www.artdubai.ae/gallery/plus2/>
Art Dubai Contemporary,2021,Accra / London,Gallery 1957,<https://www.artdubai.ae/gallery/gallery-1957-2021/>
Art Dubai Contemporary,2021,Addis Ababa / London,Addis Fine Art,<https://www.artdubai.ae/gallery/addis-fine-art-2021/>
Art Dubai Contemporary,2021,Dubai / Venice,AKKA Project,<https://www.artdubai.ae/gallery/akka-project-2021/>
Art Dubai Contemporary,2021,Madrid,Galería Albarrán Bourdais,<https://www.artdubai.ae/gallery/albarran-bourdais/>
Art Dubai Contemporary,2021,Tbilisi,Gallery ArtBeat,<https://www.artdubai.ae/gallery/galleryartbeat-2021-2/>
Art Dubai Contemporary,2021,Jeddah,Athr Gallery,<https://www.artdubai.ae/gallery/athr-2021/>
Art Dubai Contemporary,2021,Dubai,Ayyam Gallery,<https://www.artdubai.ae/gallery/ayyam-gallery-2021-2/>
Art Dubai Contemporary,2021,Beirut,Agial & Saleh Barakat Gallery,<https://www.artdubai.ae/gallery/agial-art-gallery-2021-2/>
Art Dubai Contemporary,2021,Nairobi,Circle Art Gallery,<https://www.artdubai.ae/gallery/circle-art-gallery-2021/>
Art Dubai Contemporary,2021,Marrakech,Comptoir des Mines Galerie,<https://www.artdubai.ae/gallery/comptoir-des-mines-2021/>
Art Dubai Contemporary,2021,Beijing / Havana / Les Moulins,Galleria Continua,<https://www.artdubai.ae/gallery/galleria-continua-2021/>
Art Dubai Contemporary,2021,Dubai,Custot Gallery Dubai,<https://www.artdubai.ae/gallery/custotgallerydubai-2021/>
Art Dubai Contemporary,2021,Tehran,Dastan’s Basement,<https://www.artdubai.ae/gallery/dastans-basement-2021-2/>
Art Dubai Contemporary,2021,Dubai / Tunis,ELMARSA GALLERY,<https://www.artdubai.ae/gallery/elmarsa-2021/>
Art Dubai Contemporary,2021,Kolkata,Experimenter,<https://www.artdubai.ae/gallery/experimenter-2021/>
Art Dubai Contemporary,2021,Dubai,Gallery Isabelle van den Eynde,<https://www.artdubai.ae/gallery/gallery-isabelle-van-den-eynde-2021-2/>
Art Dubai Contemporary,2021,Baku / London,Gazelli Art House,<https://www.artdubai.ae/gallery/gazelli-art-house-2021-2/>
Art Dubai Contemporary,2021,Beirut / New York / Paris,Mark Hachem,<https://www.artdubai.ae/gallery/mark-hachem-2021/>
Art Dubai Contemporary,2021,Jeddah,Hafez Gallery,<https://www.artdubai.ae/gallery/hafez-gallery-2021-2/>
Art Dubai Contemporary,2021,Dubai / New York,Leila Heller Gallery,<https://www.artdubai.ae/gallery/leila-heller-gallery-2021/>
Art Dubai Contemporary,2021,Berlin / London,Kristin Hjellegjerde Gallery,<https://www.artdubai.ae/gallery/kristin-hjellegjerde-gallery-2021/>
Art Dubai Contemporary,2021,Dubai / Tehran,Khak Gallery,<https://www.artdubai.ae/gallery/khak-gallery-2021/>
Art Dubai Contemporary,2021,Dubai / London,Lawrie Shabibi,<https://www.artdubai.ae/gallery/lawrie-shabibi-2021/>
Art Dubai Contemporary,2021,Dubai,Meem Gallery,<https://www.artdubai.ae/gallery/meemgallery-2021/>
Art Dubai Contemporary,2021,Cairo,Gallery Misr,<https://www.artdubai.ae/gallery/gallery-misr-2021/>
Art Dubai Contemporary,2021,Riyadh,Mono Gallery,<https://www.artdubai.ae/gallery/mono-gallery/>
Art Dubai Contemporary,2021,Brussels / Paris,Galerie Nathalie Obadia,<https://www.artdubai.ae/gallery/nathalie-obadia-2021/>
Art Dubai Contemporary,2021,Hong Kong / New York / Paris,Perrotin,<https://www.artdubai.ae/gallery/le-violon-bleu-2021-2/>
Art Dubai Contemporary,2021,Turin,Giorgio Persano,<https://www.artdubai.ae/gallery/giorgio-persano-2021/>
Art Dubai Contemporary,2016,Lisbon,Perve Galería,<https://www.artdubai.ae/gallery/perve-galeria-2021/>
Art Dubai Contemporary,2021,London,RONCHINI,<https://www.artdubai.ae/gallery/ronchini-gallery-2021/>
Art Dubai Contemporary,2021,Vilnius,The Rooster Gallery,<https://www.artdubai.ae/gallery/theroostergallery-2021/>
Art Dubai Contemporary,2021,Istanbul,SANATORIUM,<https://www.artdubai.ae/gallery/sanatorium-2021/>
Art Dubai Contemporary,2021,Los Angeles,Saradipour Art Gallery,<https://www.artdubai.ae/gallery/saradipour-art-gallery-2021/>
Art Dubai Contemporary,2021,Beirut / Hamburg,Sfeir-Semler Gallery,<https://www.artdubai.ae/gallery/sfeir-semler-gallery-2021-2/>
Art Dubai Contemporary,2021,Frankfurt,Galerie—Peter—Sillem,<https://www.artdubai.ae/gallery/galerie-peter-sillem-2021/>
Art Dubai Contemporary,2021,Manila,Silverlens,<https://www.artdubai.ae/gallery/silverlens-2021/>
Art Dubai Contemporary,2021,Brussels,Stems Gallery,<https://www.artdubai.ae/gallery/stems-gallery-2/>
Art Dubai Contemporary,2021,London,TAFETA,<https://www.artdubai.ae/gallery/tafeta-modern-2021/>
