section,year participation,gallery city,gallery name,link
Art Dubai Digital,2023,Miami,6529,<https://www.artdubai.ae/gallery/6529-digital-2023/>
Art Dubai Digital,2023,Lagos,AFROFUTOURISM,<https://www.artdubai.ae/gallery/afrofutourism-digital-2023/>
Art Dubai Digital,2023,Jeddah / Miami,AKTHR x AORIST,<https://www.artdubai.ae/gallery/akthr-x-aorist-digital-2023/>
Art Dubai Digital,2023,Dubai,Art in Space,<https://www.artdubai.ae/gallery/art-in-space-digital-2023/>
Art Dubai Digital,2023,Dubai,arte EXPERIENCE by Crypto Oasis,<https://www.artdubai.ae/gallery/crypto-oasis-digital-2023/>
Art Dubai Digital,2023,Lisbon,Artemis Gallery,<https://www.artdubai.ae/gallery/artemisgallery-digital-2023/>
Art Dubai Digital,2023,Beijing / Dubai / Havana,GALLERIA CONTINUA,<https://www.artdubai.ae/gallery/galleriacontinua-digital-2023/>
Art Dubai Digital,2023,Tokyo,DDE NFT Art Project produced by Shun Art Gallery,<https://www.artdubai.ae/gallery/ddenftartproject-digital-2023-2/>
Art Dubai Digital,2023,Switzerland,FAKEWHALE X OBJKT ONE,<https://www.artdubai.ae/gallery/fakewhale-x-objkt-one-2023/>
Art Dubai Digital,2023,Dubai,Galloire,<https://www.artdubai.ae/gallery/galloire-digital-2023/>
Art Dubai Digital,2023,Baku / London,Gazelli Art House,<https://www.artdubai.ae/gallery/gazell-io-digital-2023/>
Art Dubai Digital,2023,New York,JPG,<https://www.artdubai.ae/gallery/art-in-space-digital-2023-2/>
Art Dubai Digital,2023,New York / Shanghai,TRLab,<https://www.artdubai.ae/gallery/trlab-digital-2023/>
Art Dubai Digital,2023,Genève,Lian Foundation,<https://www.artdubai.ae/gallery/lian-foundation-digital-2023/>
Art Dubai Digital,2023,Dubai,MORROW collective,<https://www.artdubai.ae/gallery/morrowcollective-digital-2023/>
Art Dubai Digital,2023,Dubai,OLEA by Solimán López – Digital Immersive Installation,<https://www.artdubai.ae/gallery/olea-digital-2023-2/>
Art Dubai Digital,2023,Istanbul,PILEVNELI,<https://www.artdubai.ae/gallery/pilevneli-digital-2023/>
Art Dubai Digital,2023,Dubai,UAE NFT,<https://www.artdubai.ae/gallery/uaenft-digital-2023/>
Art Dubai Digital,2023,Dubai,MORROW collective: UAE First Immersion,<https://www.artdubai.ae/gallery/uae-first-immersion-digital-2023/>
Art Dubai Digital,2023,London,Unit London,<https://www.artdubai.ae/gallery/unitlondon-digital-2023/>
Art Dubai Digital,2023,Singapore,The Upside Space,<https://www.artdubai.ae/gallery/the-upside-space-digital-2023/>
Art Dubai Digital,2023,Tbilisi,Window Project,<https://www.artdubai.ae/gallery/window-project-digital-2023/>
Art Dubai Digital,2023,Cairo,Wizara,<https://www.artdubai.ae/gallery/wizara-digital-2023/>
Art Dubai Digital,2024,Zug,1OF1,<https//www.artdubai.ae/gallery/1of1-2024/>
Art Dubai Digital,2024,Dubai,37xDubai,<https//www.artdubai.ae/gallery/37xdubai-2024/>
Art Dubai Digital,2024,Dubai / New York,Leila Heller Gallery,<https//www.artdubai.ae/gallery/leila-heller-gallery-24/>
Art Dubai Digital,2024,Dubai,ART IN SPACE,<https//www.artdubai.ae/gallery/art-in-space/>
Art Dubai Digital,2024,New York,bitforms gallery,<https//www.artdubai.ae/gallery/bitforms-gallery/>
Art Dubai Digital,2024,Florence / Milan,Cinello,<https//www.artdubai.ae/gallery/cinello/>
Art Dubai Digital,2024,Baku / London,GAZELL.iO,<https//www.artdubai.ae/gallery/gazelli-art-house-digital-2024-2/>
Art Dubai Digital,2024,Dubai / geneva,espace,<https//www.artdubai.ae/gallery/espace/>
Art Dubai Digital,2024,Chicago,Hilton Contemporary,<https//www.artdubai.ae/gallery/hiltoncontemporary-24/>
Art Dubai Digital,2024,London / Mykonos,HOFA Gallery,<https//www.artdubai.ae/gallery/hofa-gallery-2024/>
Art Dubai Digital,2024,Carnate,Holy Club,<https//www.artdubai.ae/gallery/holy-club-2024/>
Art Dubai Digital,2024,Rome,Immaterika,<https//www.artdubai.ae/gallery/immaterika-2024/>
Art Dubai Digital,2024,Dubai,koshta.collective,<https//www.artdubai.ae/gallery/koshta-collective-2024/>
Art Dubai Digital,2024,Dubai,Looty,<https//www.artdubai.ae/gallery/looty-2024/>
Art Dubai Digital,2024,San Francisco,MakersPlace,<https//www.artdubai.ae/gallery/makersplace/>
Art Dubai Digital,2024,Dubai,Erma Gallery,<https//www.artdubai.ae/gallery/erma-gallery/>
Art Dubai Digital,2024,Dubai,MORROW Collective,<https//www.artdubai.ae/gallery/morrow-collective/>
Art Dubai Digital,2024,London,Nineteensixtyeight,<https//www.artdubai.ae/gallery/ninteensixthyeight/>
Art Dubai Digital,2024,Seoul,Gallery Now Seoul,<https//www.artdubai.ae/gallery/gallery-now-seoul-24/>
Art Dubai Digital,2024,Seoul,Sanji Gallery,<https//www.artdubai.ae/gallery/sanji-24/>
Art Dubai Digital,2024,Dubai,Tabari Artspace,<https//www.artdubai.ae/gallery/tabari-digital-2024/>
Art Dubai Digital,2024,London,TAEX,<https//www.artdubai.ae/gallery/taex-2024/>
Art Dubai Digital,2024,Lisbon,TON Diamonds,<https//www.artdubai.ae/gallery/ton-diamonds-24/>
Art Dubai Digital,2024,London,Unit London,<https//www.artdubai.ae/gallery/unit-london-2024/>
Art Dubai Digital,2025,Dubai,Monada Art Gallery X 10101.art,<https://www.artdubai.ae/gallery/10101-art/>
Art Dubai Digital,2025,New York,BREAKFAST X ACE Art Advisory,<https://www.artdubai.ae/gallery/breakfast-studio/>
Art Dubai Digital,2025,Dubai / Istanbul,Sevil Dolmaci,<https://www.artdubai.ae/gallery/sevil-dolmaci/>
Art Dubai Digital,2025,Dubai / geneva,espace,<https://www.artdubai.ae/gallery/espace-digital/>
Art Dubai Digital,2025,Maastricht / Milan,Future Maastricht,<https://www.artdubai.ae/gallery/future-maastricht/>
Art Dubai Digital,2025,Baku / London,GAZELLi.O,<https://www.artdubai.ae/gallery/gazelli-digital/>
Art Dubai Digital,2025,Jeddah,Hafez Gallery,<https://www.artdubai.ae/gallery/hafez-gallery/>
Art Dubai Digital,2025,Chicago,Hilton Contemporary,<https://www.artdubai.ae/gallery/hilton-contemporary/>
Art Dubai Digital,2025,Milan,Holy Club,<https://www.artdubai.ae/gallery/holy-club/>
Art Dubai Digital,2025,Milan / Rome,Immaterika,<https://www.artdubai.ae/gallery/immaterika/>
Art Dubai Digital,2025,Dubai,Koshta.collective,<https://www.artdubai.ae/gallery/koshta-collective/>
Art Dubai Digital,2025,Dubai,Mondoir Art Gallery,<https://www.artdubai.ae/gallery/mondoir-art-gallery/>
Art Dubai Digital,2025,Dubai,MORROW Collective,<https://www.artdubai.ae/gallery/morrow/>
Art Dubai Digital,2025,New York,Nguyen Wahed,<https://www.artdubai.ae/gallery/nguyen-wahed/>
Art Dubai Digital,2025,Istanbul,Ouchhh Studio,<https://www.artdubai.ae/gallery/ouchhh-studio/>
Art Dubai Digital,2025,London,TAEX,<https://www.artdubai.ae/gallery/taex/>
Art Dubai Digital,2025,Lisbon,Ellen Sheidlin Studio X TON Diamonds,<https://www.artdubai.ae/gallery/ton-diamonds/>
