,year participation,gallery city,gallery name,,,,,,link
Art Dubai Modern,2014,Beirut,Agial Art Gallery,,,,,,<https://www.artdubai.ae/gallery/agialartgallery-modern-2014/>
Art Dubai Modern,2014,New York,Aicon Gallery,,,,,,<https://www.artdubai.ae/gallery/agialartgallery-2014-modern/>
Art Dubai Modern,2014,Manama,Albareh Art Gallery,,,,,,<https://www.artdubai.ae/gallery/albareh-art-gallery-2014-modern/>
Art Dubai Modern,2014,Dubai,Elmarsa,,,,,,<https://www.artdubai.ae/gallery/elmarsa-2014-modern/>
Art Dubai Modern,2014,London,Grosvenor Gallery,,,,,,<https://www.artdubai.ae/gallery/grosvenor-gallery-2014-modern/>
Art Dubai Modern,2014,Mumbai,Jhaveri Contemporary,,,,,,<https://www.artdubai.ae/gallery/jhavericontemporary-2014-modern/>
Art Dubai Modern,2014,Dubai,Lawrie Shabibi,,,,,,<https://www.artdubai.ae/gallery/lawrie-shabibi-2014-modern/>
Art Dubai Modern,2014,Tehran,Shirin Gallery,,,,,,<https://www.artdubai.ae/gallery/shirin-gallery-2014-modern/>
Art Dubai Modern,2014,Beirut,Galerie Janine Rubeiz,,,,,,<https://www.artdubai.ae/gallery/galerie-janine-rubeiz-2014-modern/>
Art Dubai Modern,2014,Pakistan,ARTCHOWK,,,,,,<https://www.artdubai.ae/gallery/artchowk-2014-modern/>
Art Dubai Modern,2014,Egypt,Karim Francis Gallery,,,,,,<https://www.artdubai.ae/gallery/karim-francis-gallery-2014-modern/>
Art Dubai Modern,2015,Beirut,Agial Art Gallery,,,,,,<https://www.artdubai.ae/gallery/agial-art-gallery-2/>
Art Dubai Modern,2015,Dubai / Tunisia,Elmarsa,,,,,,<https://www.artdubai.ae/gallery/elmarsa-2015-modern/>
Art Dubai Modern,2015,Tehran,Gallery Etemad,,,,,,<https://www.artdubai.ae/gallery/gallery-etemad/>
Art Dubai Modern,2015,Dubai,Green Art Gallery,,,,,,<https://www.artdubai.ae/gallery/green-art-gallery-2015-modern/>
Art Dubai Modern,2015,Paris,Galerie Claude Lemand,,,,,,<https://www.artdubai.ae/gallery/galerie-art-lemand-2015-modern/>
Art Dubai Modern,2015,Dubai,Meem Gallery,,,,,,<https://www.artdubai.ae/gallery/meem-gallery-2015-modern/>
Art Dubai Modern,2015,Lisbon,Perve Galeria,,,,,,<https://www.artdubai.ae/gallery/perve-galeria-lisbon/>
Art Dubai Modern,2015,Beirut,Galerie Janine Rubeiz,,,,,,<https://www.artdubai.ae/gallery/galeriejaninerubeiz-2015-modern/>
Art Dubai Modern,2015,Tehran,Shirin Gallery,,,,,,<https://www.artdubai.ae/gallery/shirin-gallery-2015-modern/>
Art Dubai Modern,2015,London,The Park Gallery,,,,,,<https://www.artdubai.ae/gallery/the-park-gallery-2015-modern/>
Art Dubai Modern,2015,Project Space: Kaveh Golestan,,,,,,,<https://www.artdubai.ae/gallery/project-space-2015-modern/>
