Source,Target,Value
CRITIQUE OF PURE REASON,Doctrine of Elements,7
CRITIQUE OF PURE REASON,Doctrine of Methods,7
Doctrine of Elements,Trascendental Aesthetic,5
Doctrine of Elements,Trascendental Logic,5
Trascendental Logic,Trascendental Analytic,1
Trascendental Logic,Trascendental Dialectic,1
Trascendental Aesthetic,1.Introductory,1
Trascendental Aesthetic,Section I of Space,1
Trascendental Aesthetic,Section II of Time,1
Section I of Space,2. Metaphysical Exposition of this Conception.,1
Section I of Space,3. Transcendental Exposition of the Conception of Space.,1
Section I of Space,4. Conclusions from the foregoing Conceptions.,1
Section II of Time,5.Metaphysical Exposition of this Conception.,1
Section II of Time,6.Transcendental Exposition of the Conception of Time.,1
Section II of Time,7.Conclusions from the above Conceptions.,1
Section II of Time,8. Elucidation.,1
Section II of Time,9. General Remarks on Transcendental Æsthetic.,1
Section II of Time,10. Conclusion of the Transcendental Æsthetic.,1
Book I. Analytic of Conceptions.,Chapter I. Of the Transcendental Clue to the Discovery of all Pure Conceptions of the Understanding,1
Book I. Analytic of Conceptions.,Chapter II. Of the Deduction of the Pure Conception of the Understanding,1
Chapter I. Of the Transcendental Clue to the Discovery of all Pure Conceptions of the Understanding,Section I. Of the Logical Use of the Understanding in General.,1
Chapter I. Of the Transcendental Clue to the Discovery of all Pure Conceptions of the Understanding,Section II. Of the Logical Function of the Understanding in Judgements.,1
Chapter I. Of the Transcendental Clue to the Discovery of all Pure Conceptions of the Understanding,"Section III. Of the Pure Conceptions of the Understanding, or Categories.",1
Trascendental Analytic,Book I. Analytic of Conceptions.,1
Trascendental Analytic,Book II. Analytic of Principles,1
Book II. Analytic of Principles,Chapter I. Of the Schematism at of the Pure Conceptions of the Understanding.,1
Book II. Analytic of Principles,Chapter II. System of all Principles of the Pure Understanding.,1
Book II. Analytic of Principles,Chapter III Of the Ground of the Division of all Objects into Phenomena and Noumena.,1
Doctrine of Methods,Chapter I. The Discipline of Pure Reason.,1
Doctrine of Methods,Chapter II. The Canon of Pure Reason.,1
Doctrine of Methods,Chapter III. The Architectonic of Pure Reason,1
Doctrine of Methods,Chapter IV. The History of Pure Reason.,1
Chapter II. System of all Principles of the Pure Understanding.,Section I. Of the Supreme Principle of all Analytical Judgements.,1
Chapter II. System of all Principles of the Pure Understanding.,Section II. Of the Supreme Principle of all Synthetical Judgements.,1
Chapter II. System of all Principles of the Pure Understanding.,Section III. Systematic Representation of all Synthetical Principles of the Pure Understanding.,1
Trascendental Dialectic,INTRODUCTION.,1
Trascendental Dialectic,BOOK I—OF THE CONCEPTIONS OF PURE REASON.,1
Trascendental Dialectic,BOOK II—OF THE DIALECTICAL PROCEDURE OF PURE REASON.,1
BOOK I—OF THE CONCEPTIONS OF PURE REASON.,Section I—Of Ideas in General.,1
BOOK I—OF THE CONCEPTIONS OF PURE REASON.,Section II. Of Transcendental Ideas.,1
BOOK I—OF THE CONCEPTIONS OF PURE REASON.,Section III. System of Transcendental Ideas.,1
BOOK II—OF THE DIALECTICAL PROCEDURE OF PURE REASON.,Chapter I. Of the Paralogisms of Pure Reason.,1
BOOK II—OF THE DIALECTICAL PROCEDURE OF PURE REASON.,Chapter II. The Antinomy of Pure Reason.,1
BOOK II—OF THE DIALECTICAL PROCEDURE OF PURE REASON.,Chapter III. The Ideal of Pure Reason.,1
BOOK II—OF THE DIALECTICAL PROCEDURE OF PURE REASON.,Appendix. Of the Regulative Employment of the Ideas of Pure Reason.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section I. System of Cosmological Ideas.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section II. Antithetic of Pure Reason.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section III. Of the Interest of Reason in these Self-contradictions.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section IV. Of the necessity imposed upon Pure Reason of presenting a Solution of its Transcendental Problems.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section V. Sceptical Exposition of the Cosmological Problems presented in the four Transcendental Ideas.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section VI. Transcendental Idealism as the Key to the Solution of Pure Cosmological Dialectic.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section VII. Critical Solution of the Cosmological Problem.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section VIII. Regulative Principle of Pure Reason in relation to the Cosmological Ideas.,1
Chapter I. Of the Paralogisms of Pure Reason.,Section IX. Of the Empirical Use of the Regulative Principle of Reason with regard to the Cosmological Ideas.,1
Chapter II. The Antinomy of Pure Reason.,Section I. Of the Ideal in General.,1
Chapter II. The Antinomy of Pure Reason.,Section II. Of the Transcendental Ideal (Prototypon Trancendentale).,1
Chapter II. The Antinomy of Pure Reason.,Section III. Of the Arguments employed by Speculative Reason in Proof of the Existence of a Supreme Being.,1
Chapter II. The Antinomy of Pure Reason.,Section IV. Of the Impossibility of an Ontological Proof of the Existence of God.,1
Chapter II. The Antinomy of Pure Reason.,Section V. Of the Impossibility of a Cosmological Proof of the Existence of God.,1
Chapter II. The Antinomy of Pure Reason.,Section VI. Of the Impossibility of a Physico-Theological Proof.,1
Chapter II. The Antinomy of Pure Reason.,Section VII. Critique of all Theology based upon Speculative Principles of Reason.,1
Section IX. Of the Empirical Use of the Regulative Principle of Reason with regard to the Cosmological Ideas.,I. Solution of the Cosmological Idea of the Totality of the Composition of Phenomena in the Universe.,1
Section IX. Of the Empirical Use of the Regulative Principle of Reason with regard to the Cosmological Ideas.,II. Solution of the Cosmological Idea of the Totality of the Division of a Whole given in Intuition.,1
Section IX. Of the Empirical Use of the Regulative Principle of Reason with regard to the Cosmological Ideas.,III. Solution of the Cosmological Idea of the Totality of the Deduction of Cosmical Events from their Causes.,1
