airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
7036,Kabul,Bagram Air Base,34.94609833,69.26499939,Afghanistan,\N,OAIX,4895,4.5,U,Asia/Kabul,airport
8825,Bamyan,Bamiyan Airport,34.81700134,67.81700134,Afghanistan,BIN,OABN,8367,4.5,N,Asia/Kabul,airport
8773,Lashkar Gah,Bost Airport,31.55970001,64.36499786,Afghanistan,BST,OABT,2464,4.5,U,Asia/Kabul,airport
7868,Camp Bastion,Camp Bastion Airport,31.86380005,64.22460175,Afghanistan,\N,OAZI,2943,4.5,N,Asia/Kabul,airport
7501,Chaghcharan,Chakcharan Airport,34.53300095,65.26699829,Afghanistan,CCN,OACC,7383,4.5,U,Asia/Kabul,airport
10057,Farah,Farah Airport,32.36700058,62.18299866,Afghanistan,FAH,OAFR,3083,4.3,N,\N,airport
5922,Faizabad,Fayzabad Airport,37.121101,70.518097,Afghanistan,FBD,OAFZ,3872,4.5,U,Asia/Kabul,airport
2048,Herat,Herat Airport,34.20999908,62.22829819,Afghanistan,HEA,OAHR,3206,4.5,U,Asia/Kabul,airport
2049,Jalalabad,Jalalabad Airport,34.39979935,70.49859619,Afghanistan,JAA,OAJL,1814,4.5,U,Asia/Kabul,airport
2050,Kabul,Kabul International Airport,34.5658989,69.21230316,Afghanistan,KBL,OAKB,5877,4.5,U,Asia/Kabul,airport
2051,Kandahar,Kandahar Airport,31.50580025,65.84780121,Afghanistan,KDH,OAKN,3337,4.5,U,Asia/Kabul,airport
8127,Khost,Khost Airport,33.33340073,69.95200348,Afghanistan,KHT,OAKS,3756,4.5,N,Asia/Kabul,airport
2056,Kunduz,Konduz Airport,36.6651001,68.91079712,Afghanistan,UND,OAUZ,1457,4.5,U,Asia/Kabul,airport
2052,Maimama,Maimana Airport,35.93080139,64.7609024,Afghanistan,MMZ,OAMN,2743,4.5,U,Asia/Kabul,airport
2053,Mazar-i-sharif,Mazar I Sharif Airport,36.70690155,67.20970154,Afghanistan,MZR,OAMS,1284,4.5,U,Asia/Kabul,airport
8146,Sharona,Sharana Airstrip,33.12575,68.838517,Afghanistan,AZ3,OASA,7340,4.5,N,Asia/Kabul,airport
2055,Sheberghan,Sheberghan Airport,36.75080109,65.91320038,Afghanistan,\N,OASG,1053,4.5,U,Asia/Kabul,airport
2054,Shindand,Shindand Airport,33.3913002,62.26100159,Afghanistan,\N,OASD,3773,4.5,U,Asia/Kabul,airport
7499,Tarin Kowt,Tarin Kowt Airport,32.60419846,65.86579895,Afghanistan,TII,OATN,4429,4.5,U,Asia/Kabul,airport
7500,Zaranj,Zaranj Airport,30.972222,61.865833,Afghanistan,ZAJ,OAZJ,1572,4.5,U,Asia/Kabul,airport
11869,Gjadër,Gjadër Air Base,41.895199,19.5987,Albania,\N,LAGJ,23,\N,\N,\N,airport
11871,Kuçovë,Kuçovë Air Base,40.77190018,19.90189934,Albania,\N,LAKV,135,\N,\N,\N,airport
11870,Kukës,Kukës Airport,42.03369904,20.41589928,Albania,\N,LAKU,1120,\N,\N,\N,airport
1190,Tirana,Tirana International Airport Mother Teresa,41.41469955,19.72060013,Albania,TIA,LATI,126,1,E,Europe/Tirane,airport
11872,Vlorë,Vlorë Air Base,40.47610092,19.4741993,Albania,\N,LAVL,3,\N,\N,\N,airport
216,Tamanrasset,Aguenar – Hadj Bey Akhamok Airport,22.81150055,5.451079845,Algeria,TMR,DAAT,4518,1,N,Africa/Algiers,airport
6492,Setif,Ain Arnat Airport,36.17810059,5.32449007,Algeria,QSF,DAAS,3360,1,U,Africa/Algiers,airport
243,Ouargla,Ain el Beida Airport,31.91720009,5.412779808,Algeria,OGX,DAUU,492,1,N,Africa/Algiers,airport
215,Ain Oussera,Ain Oussera Airport,35.52539825,2.878710032,Algeria,\N,DAAQ,2132,1,N,Africa/Algiers,airport
220,Annaba,Annaba Airport,36.82220078,7.809169769,Algeria,AAE,DABB,16,1,N,Africa/Algiers,airport
5552,Batna,Batna Airport,35.7521019,6.308589935,Algeria,BLJ,DABT,2697,1,N,Africa/Algiers,airport
5553,Béchar,Béchar Boudghene Ben Ali Lotfi Airport,31.64570045,-2.269860029,Algeria,CBH,DAOR,2661,1,N,Africa/Algiers,airport
235,Biskra,Biskra Airport,34.79330063,5.738230228,Algeria,BSK,DAUB,289,1,N,Africa/Algiers,airport
207,Blida,Blida Airport,36.50360107,2.814169884,Algeria,\N,DAAB,535,1,N,Africa/Algiers,airport
5554,Bordj Badji Mokhtar,Bordj Badji Mokhtar Airport,21.375,0.923888981,Algeria,BMW,DATM,1303,1,N,Africa/Algiers,airport
225,Tiaret,Bou Chekif Airport,35.34109879,1.463150024,Algeria,TID,DAOB,3245,1,N,Africa/Algiers,airport
208,Bou Saada,Bou Saada Airport,35.33250046,4.206389904,Algeria,\N,DAAD,1506,1,N,Africa/Algiers,airport
226,Bou Sfer,Bou Sfer Airport,35.73540115,-0.805388987,Algeria,\N,DAOE,187,1,N,Africa/Algiers,airport
212,Boufarik,Boufarik Airport,36.545799,2.87611,Algeria,QFD,DAAK,335,1,N,Africa/Algiers,airport
222,Tebessa,Cheikh Larbi Tébessi Airport,35.43159866,8.12071991,Algeria,TEE,DABS,2661,1,N,Africa/Algiers,airport
211,Djanet,Djanet Inedbirene Airport,24.2928009,9.452440262,Algeria,DJG,DAAJ,3176,1,N,Africa/Algiers,airport
