Tezos USD (XTZ-USD) CCC - CoinMarketCap. Currency in USD,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
"Nov 10, 2022",1.0166,1.1536,1.0136,1.1536,1.1536,"62,872,100"
"Nov 09, 2022",1.1726,1.182,0.9904,1.0206,1.0206,"79,487,344"
"Nov 08, 2022",1.3618,1.3782,1.1105,1.1726,1.1726,"77,994,568"
"Nov 07, 2022",1.3739,1.398,1.3465,1.3619,1.3619,"37,243,157"
"Nov 06, 2022",1.4454,1.4522,1.373,1.3742,1.3742,"33,423,326"
"Nov 05, 2022",1.4441,1.4731,1.4327,1.4453,1.4453,"51,818,334"
"Nov 04, 2022",1.3695,1.4444,1.3647,1.4444,1.4444,"72,989,134"
"Nov 03, 2022",1.3821,1.4218,1.3609,1.3694,1.3694,"52,772,206"
"Nov 02, 2022",1.415,1.425,1.3575,1.3819,1.3819,"33,639,190"
"Nov 01, 2022",1.4275,1.4358,1.4066,1.4151,1.4151,"27,692,590"
"Oct 31, 2022",1.4228,1.4719,1.4147,1.4275,1.4275,"34,004,483"
"Oct 30, 2022",1.443,1.4812,1.4053,1.423,1.423,"27,294,899"
"Oct 29, 2022",1.4423,1.4803,1.4303,1.4427,1.4427,"32,186,126"
"Oct 28, 2022",1.4149,1.4595,1.3985,1.4424,1.4424,"27,492,330"
"Oct 27, 2022",1.4345,1.4836,1.4123,1.4149,1.4149,"31,707,771"
"Oct 26, 2022",1.3888,1.4557,1.3882,1.4343,1.4343,"32,348,460"
"Oct 25, 2022",1.3536,1.4117,1.3519,1.3892,1.3892,"28,836,703"
"Oct 24, 2022",1.3732,1.392,1.3386,1.3537,1.3537,"48,146,232"
"Oct 23, 2022",1.3395,1.3788,1.3322,1.3732,1.3732,"16,074,519"
"Oct 22, 2022",1.3426,1.3504,1.3298,1.3393,1.3393,"11,007,528"
"Oct 21, 2022",1.321,1.35,1.2982,1.3426,1.3426,"19,769,883"
"Oct 20, 2022",1.3278,1.3555,1.3113,1.3211,1.3211,"20,393,605"
"Oct 19, 2022",1.3751,1.379,1.3267,1.3277,1.3277,"25,614,738"
"Oct 18, 2022",1.39,1.4065,1.3544,1.3751,1.3751,"23,037,900"
"Oct 17, 2022",1.3548,1.3929,1.3462,1.3899,1.3899,"17,265,419"
"Oct 16, 2022",1.3549,1.3704,1.3438,1.3548,1.3548,"13,118,218"
"Oct 15, 2022",1.3673,1.3793,1.3482,1.355,1.355,"12,313,122"
"Oct 14, 2022",1.3848,1.4334,1.3566,1.3674,1.3674,"26,319,369"
"Oct 13, 2022",1.3531,1.4159,1.2697,1.3847,1.3847,"48,884,716"
"Oct 12, 2022",1.3434,1.3622,1.3424,1.3531,1.3531,"12,452,849"
"Oct 11, 2022",1.3713,1.3713,1.3357,1.3434,1.3434,"18,961,118"
"Oct 10, 2022",1.4271,1.4404,1.3715,1.3715,1.3715,"16,970,149"
"Oct 09, 2022",1.4078,1.428,1.4052,1.4273,1.4273,"11,004,644"
"Oct 08, 2022",1.4096,1.4246,1.401,1.4078,1.4078,"11,422,890"
"Oct 07, 2022",1.4271,1.4334,1.3957,1.4097,1.4097,"18,495,952"
"Oct 06, 2022",1.4304,1.4526,1.4207,1.427,1.427,"25,879,991"
"Oct 05, 2022",1.4574,1.4578,1.4072,1.4303,1.4303,"19,238,068"
"Oct 04, 2022",1.4412,1.4671,1.4293,1.4575,1.4575,"22,689,269"
"Oct 03, 2022",1.3787,1.4471,1.3706,1.4418,1.4418,"31,877,551"
"Oct 02, 2022",1.4098,1.4191,1.375,1.3786,1.3786,"17,501,494"
"Oct 01, 2022",1.4221,1.4327,1.402,1.4097,1.4097,"13,301,107"
"Sep 30, 2022",1.4397,1.4616,1.412,1.4221,1.4221,"28,224,533"
"Sep 29, 2022",1.4393,1.4475,1.4088,1.4396,1.4396,"24,545,185"
"Sep 28, 2022",1.446,1.4548,1.3946,1.4392,1.4392,"32,992,476"
"Sep 27, 2022",1.4744,1.5404,1.4284,1.4468,1.4468,"34,297,467"
"Sep 26, 2022",1.4594,1.4769,1.4291,1.4744,1.4744,"23,968,757"
"Sep 25, 2022",1.4786,1.5065,1.4427,1.4592,1.4592,"20,969,344"
"Sep 24, 2022",1.5185,1.5486,1.4736,1.4785,1.4785,"26,398,812"
"Sep 23, 2022",1.5087,1.5487,1.4344,1.5187,1.5187,"40,351,796"
"Sep 22, 2022",1.4152,1.5192,1.4106,1.5087,1.5087,"42,662,656"
"Sep 21, 2022",1.4637,1.5178,1.393,1.4159,1.4159,"58,741,906"
"Sep 20, 2022",1.4856,1.5205,1.4578,1.4638,1.4638,"37,468,330"
"Sep 19, 2022",1.4393,1.4992,1.415,1.4858,1.4858,"42,236,745"
"Sep 18, 2022",1.5509,1.5695,1.4311,1.4392,1.4392,"31,862,948"
"Sep 17, 2022",1.5215,1.5538,1.5215,1.551,1.551,"21,000,868"
"Sep 16, 2022",1.5243,1.5481,1.5073,1.5212,1.5212,"37,075,660"
"Sep 15, 2022",1.6056,1.6086,1.5174,1.5241,1.5241,"50,866,948"
"Sep 14, 2022",1.5305,1.619,1.5205,1.6055,1.6055,"40,347,890"
