Painting _Title,Year_creation,Technique,Dimensions height (cm),Dimensions width (cm),Place of creation,Collection,Current location,Catalog Moran-Sanchez/Lopez-Rey,Notes,theme,Nmber of characters,Women,Men
Tres músicos,1617–1618,Oil on canvas,87,110,Seville,Staatliche Museen,Berlín,1/1,,social,,,
The Lunch,c. 1618,Oil on canvas,108.5,102,Seville,Hermitage,Saint Petersburg,2/3,,social,,,
La mulata,c. 1620,Oil on canvas,55,118,Seville,National Gallery of Ireland,Dublin,3/17,The dates proposed by critics range from 1617 to 1622.,social,,,
Old Woman Cooking Eggs,1618,Oil on canvas,100.5,119.5,Seville,National Gallery of Scotland,Edinburgh,5/6,Dated in the lower right corner.,social,,,
Christ in the House of Martha and Mary,1618,Oil on canvas,60,103.5,Seville,National Gallery of London,London,6/7,Dated.,religious,,,
Dos jóvenes a la mesa,1622,Oil on canvas,65.3,104,Seville,Apsley House,London,9/24,,social,,,
Saint Thomas,1619–1620,Oil on canvas,95,73,Seville,Musée des Beau -Arts d'Orléans,Orléans,10/10,,religious,,,
Immaculate Conception,1619,Oil on canvas,135,101.6,Seville,National Gallery of London,London,11/11,,religious,,,
San Juan en Patmos,1619,Oil on canvas,135.5,102.2,Seville,National Gallery of London,London,12/12,,religious,,,
Adoration of the Magi,1619,Oil on canvas,204,126.5,Seville,Museo del Prado,Madrid,13/13,Dated in the stone under the foot of the Virgin.,religious,,,
San Pablo,1619–1620,Oil on canvas,99,78,Seville,Museu Nacional d'Art de Catalunya,Barcelona,14/14,,religious,,,
Cabeza de apóstol,1622,Oil on canvas,38,29,Seville,Museo del Prado,Madrid,15/15,,religious,,,
The Waterseller of Seville,1620,Oil on canvas,106.7,81,Seville,Apsley House,London,16/16,,social,,,
Don Cristóbal Suárez de Ribera,1620,Oil on canvas,207,148,Seville,Museum of Fine Arts of Seville,Seville,17/19,"Signed and dated in a fold of clothing difficult to read.[2] This would be a posthumous portrait, as the sitter died in 1618, although Mayer thought that monogram and date could be apocryphal.[3]",historical,,,
La venerable madre Jerónima de la Fuente,1620,Oil on canvas,162,107,Seville,Museo del Prado,Madrid,18/20,"Signed and dated ""Diego Velazquez f. 1620"". The phylactery around the cross with its inscription, now illegible, was erased in 1944, after entering at the Museum, for having believed apocryphal.[4]",religious,,,
La venerable madre Jerónima de la Fuente,1620,Oil on canvas,162.5,105,Seville,Colección Fernández Araoz,Madrid,19/21,"Signed and dated ""Diego Velazquez f. 1620"". Added at a later date under the hand of others.[5]",religious,,,
Imposición de la casulla a San Ildefonso,1620–1623,Oil on canvas,166,120,Seville,Municipality of Seville,Seville,20/22,In poor condition with significant loss of paint.,religious,,,
Retrato de caballero/Francisco Pacheco,1620–1622,Oil on canvas,40,36,Seville,Museo del Prado,Madrid,21/23,,historical,,,
Portrait of Don Luis de Góngora,1622,Oil on canvas,50.3,40.5,Madrid,Museum of Fine Arts,Boston,22/25,,historical,,,
Retrato de hombre,1623–1624,Oil on canvas,55.5,38,Madrid,Museo del Prado,Madrid,24/27,"Allende-Salazar (1925), Mayer (1936) and Camón Aznar estimate that this could be a self-portrait. López-Rey and Brown think that the subject could be the artist's brother Juan, also a painter.[6]",social,,,
Retrato de Felipe IV,1623–1624,Oil on canvas,61.6,48.2,Madrid,Meadows Museum,Dallas,25/28,"Brown believes that this may be a portrait of the king,[7] an hypothesis rejected by López-Rey.[8]",historical,,,
Retrato de dama,1625,Oil on canvas,32,24,Madrid,Once in the Royal Palace of Madrid. ,"Current whereabouts unknown (stolen from Greenville Art Museum in South Carolina on July 8, 2010)",28/31,This is a fragment of a larger portrait probably damaged in the fire of Alcazar.[9],social,,,
Cabeza de venado,1626–1628,Oil on canvas,58,44.5,Madrid,Museo del Prado,Madrid,31/33,"Dating is controversial. Most critics suggest 1635.[10] López-Rey gives 1626, based on 1637 information from a picture of a deer antler painted by Velázquez bearing the inscription ""Le mató el Rey nuestro Sr. Phe. quarto el year 1626"".[11] A technical study by Carmen Garrido placed the date between 1626 and 1628.[12]",social,,,
Cristo contemplado por el alma cristiana,1626–1628,Oil on canvas,165,206.4,Madrid,National Gallery of London,London,32/35,,religious,,,
Felipe IV de negro.jpg,1623–1628,Oil on canvas,198,101.5,Madrid,Museo del Prado,Madrid,33/36,,historical,,,
Portrait of the Infante Don Carlos,1626–1628,Oil on canvas,209,12,Madrid,Museo del Prado,Madrid,34/37,,historical,,,
Portrait of Philip IV in Armour,c. 1628,Oil on canvas,57,44.5,Madrid,Museo del Prado,Madrid,35/38,"This is considered a fragment of a larger work painted in two stages, reforming the dress and adding the red band in the second.[13]",historical,,,
Demócrito/El geógrafo,1628–1629,Oil on canvas,101,81,Madrid,Musée des Beau -Arts de Rouen,Rouen,37/40,"Head and hand repainted around 1640. Radiography shows the left hand formerly contained a drink, as it appears in two copies preserved.[14]",historical,,,
The Triumph of Bacchus,1628–1629,Oil on canvas,165.5,227.5,Madrid,Museo del Prado,Madrid,38/41,,mythological,,,
La cena de Emaús,1628–1629,Oil on canvas,123.2,132.7,Madrid,Metropolitan Museum of Art, New York,39/42,Proposed dates range from 1619 (Lafuente Ferrari) to a time immediately after the first trip to Italy (Marias).[15],religious,,,
Portrait of Maria Anna,1630,Oil on canvas,59.5,45.5,Italy,Museo del Prado,Madrid,40/48,,historical,,,
Joseph's Tunic,1630,Oil on canvas,223,250,Italy,"El Escorial, San Lorenzo de El Escorial",San Lorenzo de El Escorial,41/43,,religious,,,
Apollo in the Forge of Vulcan,1630,Oil on canvas,222,290,Italy,Museo del Prado,Madrid,42/44,,mythological,,,
Cabeza de Apolo,1630,Oil on canvas,36,25,Italy,Private collection,New York,43/45,Considered a study for Apollo in the Forge of Vulcan.[16],mythological,,,
El Pabellón de Cleopatra-Ariadna,1630,Oil on canvas,44.5,38.5,Italy,Museo del Prado,Madrid,44/46,"The dating of this painting and the ne t has been controversial. Most critics date it during the second trip to Italy, but technical studies by in the Prado confirm the 1630 date proposed by López-Rey.[17]",social,,,
View of the Garden of the Villa Medici,1630,Oil on canvas,48.5,43,Italy,Museo del Prado,Madrid,45/47,,social,,,
A Sybil (Juana Pacheco?),1630–1631,Oil on canvas,62,50,Madrid,Museo del Prado,Madrid,46/49,,mythological,,,
Retrato de hombre joven,1630–1631,Oil on canvas,89.2,69.5,Madrid,Alte Pinakothek,Munich,47/50,"Appears unfinished, with the hands just sketched, although López-Rey suggests that Velázquez may have intended this as a finished work, highlighting the essential features of the portrait.[18]",social,,,
Temptation of St. Thomas,1631–1632,Oil on canvas,244,203,Madrid,"Museum of the Orihuela Cathedral, Orihuela",,48/130,,religious,,,
Prince Balthasar Charles With a Dwarf,1631,Oil on canvas,128.1,102,Madrid,Museum of Fine Arts,Boston,49/51,,historical,,,
Felipe IV de castaño y plata,1631–1632,Oil on canvas,199.5,113,Madrid,National Gallery of London,London,50/52,,historical,,,
Isabel de Borbón,1631–1632,Oil on canvas,207,119,Madrid,Private collection,New York,51/53,,historical,,,
Don Diego del Corral y Arellano,1631–1632,Oil on canvas,205,116,Madrid,Museo del Prado,Madrid,52/55,,historical,,,
Doña Antonia de Ipeñarrieta y Galdós and Her Son Don Luis,1631–1632,Oil on canvas,205,115,Madrid,Museo del Prado,Madrid,53/54,"Brown suggestions that a contemporary workshop was involved in the painting of lady's costume and the figure of the child; changes once thought to be later additions, but denied by radiography.[19][20]",historical,,,
Mano de hombre,1630,Oil on canvas,27,24,Madrid,Unknown; previously Royal Palace of Madrid,,54/56,,social,,,
Don Pedro de Barberana y Aparregui,1631–1632,Oil on canvas,198.2,111.8,Madrid,"Kimbell Art Museum, Fort Worth",Te as,55/57,,historical,,,
Don Juan Mateos,1632,Oil on canvas,108,90,Madrid,Gemäldegalerie Alte Meister,Dresden,56/58,"The hands are only outlined, but with a touch of white light which suggests that Velázquez considered the work finished in that state.",historical,,,
Christ Crucified,1632,Oil on canvas,250,170,Madrid,Museo del Prado,Madrid,57/59,,religious,,,
Retrato del príncipe Baltasar Carlos,1632,Oil on canvas,117.8,95.9,Madrid,Wallace Collection,London,58/60,,historical,,,
Felipe IV,1632,Oil on canvas,127.5,86.5,Madrid,Kunsthistorisches Museum,Vienna,59/61,Generally considered the work of Velázquez and his workshop.[21] For López-Rey only the head and some small details could be considered by Velazquez.[22],historical,,,
Isabel de Borbón,1632,Oil on canvas,132,101.5,Madrid,Kunsthistorisches Museum,Vienna,60/62,,historical,,,
The Jester Named Don John of Austria,1632–1633,Oil on canvas,210,124.5,Madrid,Museo del Prado,Madrid,61/65,,social,,,
Equestrian Portrait of the Count-Duke of Olivares,1634,Oil on canvas,314,240,Madrid,Museo del Prado,Madrid,62/66,,historical,,,
Caballo blanco,1634–1635,Oil on canvas,310,245,Madrid,Royal Palace of Madrid,Madrid,63/67,,social,,,
Equestrian Portrait of Philip III,1634–1635,Oil on canvas,305,320,Madrid,Museo del Prado,Madrid,64/68,,historical,,,
Equestrian Portrait of Margarita of Austria,1634–1635,Oil on canvas,302,311.5,Madrid,Museo del Prado,Madrid,65/69,Velazquez and workshop.,historical,,,
Equestrian Portrait of Elisabeth of France,1634–1635,Oil on canvas,304.5,317.5,Madrid,Museo del Prado,Madrid,66/70,Velazquez and workshop.[23],historical,,,
Equestrian Portrait of Philip IV,1634–1635,Oil on canvas,305.5,317.5,Madrid,Museo del Prado,Madrid,67/71,,historical,,,
