Title,Year,Technique,size height (cm),venue,location
Arachne or Dialectics,-1520,Fresco,??,Palazzo Ducale,"Venice, Italy"
Leda and the Swan (subject),??,Oil on canvas,??,Musée Fesch,"Ajaccio, Corsica"
The Conversion of Mary Magdalene,(1545–1548),Oil on canvas,163.5 × 117,National Gallery,London
The Temptation of St Anthony,(1552–1553),Oil on canvas,198 × 151,Musée des Beaux-Arts,Caen
Zeus ousting the Vices,(1553?),Oil on canvas,650 × 330,Louvre,Paris
St. Mark Crowning the Virtue,(1554?),Oil on canvas,330 × 317,Louvre,Paris
Coronation of the Virgin,-1555,Oil on canvas,?,San Sebastiano,Venice
La Bella Nani (Portrait of a Woman),(1555–1560?),Oil on canvas,119 × 103,Louvre,Paris
Annunciation,(1555?),Oil on canvas,193 × 291,Uffizi,Florence
Venus Disarming Cupid,(1555 c.),Oil on canvas,"62.52 x 54.49"" (158.8 x 138.4 cm)",Worcester Art Museum,"Worcester, Massachusetts[34]"
Jesus among the Doctors in the Temple,-1558,Oil on canvas,236 × 430,Prado,Madrid
Assumption of the Virgin,(1558?),Oil on canvas,340 × 455,San Giovanni e Paolo,Venice
Supper at Emmaus,1559–1560,Oil on canvas,241 × 415,Louvre,Paris
The Wedding at Cana,(1560?),Oil on canvas,207 × 457,Gemäldegalerie Alte Meister,Dresden
Portrait of a Man,(1560?),Oil on canvas,120 × 102,Museum of Fine Arts,Budapest
The Resurrection of Jesus Christ,-1560,Oil on canvas,...,San Francesco della Vigna,Venice
"Decoration of the Villa Barbaro: Bacchus Giving Wine to Men, Giustiniana Giustiniani with Her Nurse and other scenes",(1560–1561),Fresco,??,"Villa Barbaro, Maser","Maser, Treviso"
Venus and Adonis,(1561+),Oil on canvas,123 × 174,Staatliche Kunstsammlungen,Augsburg
Virgin in Glory with Saints,(1562?),Oil on canvas,??,San Sebastiano,Venice
St John the Baptist Preaching,(1562?),Oil on canvas,??,Galleria Borghese,Rome
Madonna Enthroned with Saints,(1562?),Oil on canvas,339 × 191,Gallerie dell'Accademia,Venice
The Wedding at Cana,-1563,Oil on canvas,677 × 994,Louvre,Paris
Petrobelli altarpiece,(c. 1563),Oil on canvas,Now divided,"Dulwich Picture Gallery, National Gallery of Scotland, National Gallery of Canada, Blanton Museum of Art","Ottawa, Dulwich, Edinburgh & Austin, Texas"
